index,0
of,348
the,308
is,234
and,204
a,170
in,159
I,123
to,115
you,92
:,87
The,85
this,81
-,75
that,75
And,71
Hindi,71
on,62
was,57
it,57
He,53
for,51
are,51
Category:,48
have,46
.,45
my,44
with,41
This,39
District,39
So,39
your,38
What,36
Category,35
not,34
what,33
It's,32
as,31
we,31
very,30
an,30
at,29
be,29
India,28
It,28
We,27
were,27
like,27
by,27
from,26
(Applause),26
so,25
She,25
these,25
see,24
But,24
?,24
I'm,24
about,23
News,23
In,23
You,23
can,23
also,22
district,21
you.,21
Thank,21
they,21
food,20
our,20
External,20
Indian,20
My,20
do,19
They,19
Don't,19
position,19
me,19
How,19
their,19
it's,19
one,18
(Laughter),17
world,17
links,17
Hindu,17
A,17
will,17
all,17
Literature,16
did,16
Class:,16
That's,16
Is,15
story,15
Life,15
has,15
it.,15
Series:,15
don't,15
but,14
he,14
life,14
class:,14
too,14
or,14
just,14
Where,14
time,13
Solar,13
Nepal,13
which,13
United,13
That,13
then,13
When,12
good,12
out,12
Sanskrit,12
Please,12
get,12
because,12
where,12
into,12
literature,12
every,11
how,11
other,11
had,11
there,11
make,11
his,11
history,11
Google,11
news,10
even,10
Now,10
University,10
See,10
years,10
happened,10
There,10
Main,10
History,10
over,10
first,10
come,10
human,10
really,10
want,10
much.,10
little,9
people,9
National,9
no,9
more,9
Also,9
him,9
government,9
them,9
need,9
What's,9
if,9
"that,",9
its,9
People,8
who,8
here,8
West,8
Bengal,8
that's,8
Fax,8
language,8
called,8
some,8
actually,8
Do,8
Are,8
father,8
made,8
South,8
Who,8
Special,8
through,8
Government,8
Ramayana,8
Vedic,8
now.,8
modern,8
got,8
On,8
book,8
Purana,8
go,8
me.,8
last,7
came,7
cricket,7
Look,7
two,7
does,7
work,7
Come,7
may,7
social,7
Personal,7
own,7
economic,7
power,7
name,7
"ago,",7
Mahabharata,7
City,7
Have,7
Let's,7
hindi,7
I'll,7
Religious,7
old,7
being,7
New,7
"example,",6
when,6
Religion,6
place,6
Times,6
interesting,6
Telephone,6
Because,6
International,6
new,6
those,6
much,6
books,6
back,6
up,6
teacher?,6
Mahadevi,6
love,6
"said,",6
I've,6
can't,6
Rajasthan,6
time.,6
any,6
start,6
know,6
only,6
didn't,6
religion,6
Your,6
isn't,6
These,6
this.,6
Let,6
maybe,6
Dainik,6
say,6
Unicode,6
writer,6
poetry,6
One,6
here.,6
Branch,6
Its,6
site,6
related,6
He's,6
took,6
video,6
thing.,6
great,6
am,6
up.,6
she,6
Prasad,6
would,6
Pradesh,5
General,5
become,5
Muslims,5
category,5
phone,5
many,5
you?,5
still,5
Space,5
doesn't,5
Medal,5
possible,5
Buddha,5
Did,5
that?,5
"fact,",5
Uttar,5
"is,",5
home.,5
Constitution,5
020,5
Food,5
capital,5
Cricket,5
"me,",5
List,5
mobile,5
way.,5
should,5
Swami,5
another,5
believe,5
Hindustan,5
page,5
things,5
India.,5
Aks,5
Political,5
"Now,",5
knowledge,5
point,5
day,5
God,5
To,5
Phone,5
chair,5
learning,5
getting,5
If,5
world.,5
Links,5
Yes,5
Surdas,5
lost,5
tired.,5
year.,5
behind,5
Mahal,5
look,5
been,5
seen,5
Education,5
places,5
President,5
Why,5
down.,5
must,5
said,5
Introduction,5
political,5
IME,5
Fish,5
her,5
than,5
already,5
Puran,5
life.,5
Hindi-Urdu,5
system,5
